country,"food product","Total emissiones per country vs product","AVG emission per country vs product"
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Malta,Cane,0,122065197574.41176
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Greece,Potatoes,473659713,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Malta,Potatoes,538108590,5715140196
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
Greece,Cane,330256666766,122065197574.41176
